step,probe_index,mcqa_accuracy,predicted_idx,predicted_label,correct_idx
0,0,0.0,4,E,1
0,1,0.0,1,B,4
0,2,0.0,3,D,1
0,3,0.0,4,E,2
0,4,0.0,1,B,4
0,5,0.0,2,C,4
0,6,0.0,0,A,1
0,7,0.0,1,B,4
0,8,0.0,1,B,0
0,9,0.0,3,D,4
0,10,0.0,0,A,1
0,11,1.0,0,A,0
0,12,0.0,4,E,3
0,13,0.0,2,C,1
0,14,0.0,2,C,3
0,15,0.0,4,E,3
0,16,0.0,2,C,4
0,17,0.0,4,E,0
0,18,0.0,4,E,0
0,19,1.0,2,C,2
0,20,0.0,1,B,2
0,21,0.0,0,A,2
0,22,1.0,1,B,1
0,23,0.0,1,B,0
0,24,0.0,2,C,0
0,25,0.0,0,A,4
0,26,1.0,3,D,3
0,27,1.0,1,B,1
0,28,0.0,1,B,3
0,29,0.0,2,C,1
0,30,0.0,0,A,1
0,31,0.0,1,B,2
0,32,0.0,3,D,0
0,33,1.0,4,E,4
0,34,0.0,3,D,4
0,35,0.0,0,A,2
0,36,1.0,0,A,0
0,37,1.0,1,B,1
0,38,0.0,3,D,2
0,39,0.0,0,A,1
0,40,1.0,3,D,3
0,41,1.0,0,A,0
0,42,1.0,2,C,2
0,43,1.0,2,C,2
0,44,1.0,1,B,1
0,45,0.0,2,C,1
0,46,1.0,0,A,0
0,47,1.0,4,E,4
0,48,0.0,0,A,1
0,49,0.0,0,A,3
0,50,1.0,0,A,0
0,51,0.0,1,B,4
0,52,0.0,2,C,1
0,53,1.0,2,C,2
0,54,1.0,0,A,0
0,55,0.0,2,C,4
0,56,0.0,0,A,4
0,57,1.0,4,E,4
0,58,0.0,4,E,3
0,59,1.0,0,A,0
0,60,1.0,0,A,0
0,61,0.0,1,B,4
0,62,1.0,0,A,0
0,63,0.0,0,A,4
0,64,0.0,4,E,0
0,65,1.0,3,D,3
0,66,0.0,4,E,0
0,67,1.0,1,B,1
0,68,0.0,0,A,4
0,69,1.0,0,A,0
0,70,1.0,3,D,3
0,71,1.0,0,A,0
0,72,0.0,0,A,1
0,73,1.0,3,D,3
0,74,0.0,4,E,1
0,75,1.0,1,B,1
0,76,1.0,4,E,4
0,77,0.0,1,B,3
0,78,0.0,4,E,2
0,79,0.0,4,E,0
0,80,0.0,4,E,3
0,81,0.0,2,C,0
0,82,0.0,0,A,1
0,83,0.0,0,A,1
0,84,1.0,1,B,1
0,85,1.0,1,B,1
0,86,1.0,1,B,1
0,87,1.0,0,A,0
0,88,1.0,0,A,0
0,89,0.0,0,A,2
0,90,0.0,1,B,3
0,91,0.0,0,A,4
0,92,1.0,0,A,0
0,93,1.0,2,C,2
0,94,0.0,0,A,2
0,95,0.0,1,B,4
0,96,0.0,3,D,4
0,97,1.0,2,C,2
0,98,0.0,2,C,3
0,99,0.0,0,A,3
0,100,1.0,0,A,0
0,101,0.0,3,D,1
0,102,0.0,1,B,2
0,103,0.0,1,B,3
0,104,0.0,3,D,4
0,105,1.0,2,C,2
0,106,1.0,0,A,0
0,107,1.0,0,A,0
0,108,1.0,4,E,4
0,109,0.0,0,A,3
0,110,0.0,2,C,0
0,111,0.0,2,C,4
0,112,0.0,0,A,1
0,113,0.0,3,D,1
0,114,0.0,2,C,3
0,115,0.0,0,A,1
0,116,0.0,4,E,2
0,117,1.0,3,D,3
0,118,1.0,2,C,2
0,119,1.0,3,D,3
0,120,0.0,4,E,2
0,121,0.0,2,C,4
0,122,1.0,0,A,0
0,123,1.0,3,D,3
0,124,1.0,3,D,3
0,125,1.0,0,A,0
0,126,0.0,2,C,0
0,127,1.0,4,E,4
0,128,0.0,2,C,4
0,129,0.0,0,A,3
0,130,0.0,0,A,1
0,131,1.0,2,C,2
0,132,1.0,4,E,4
0,133,0.0,0,A,2
0,134,0.0,2,C,0
0,135,0.0,1,B,3
0,136,0.0,2,C,1
0,137,0.0,0,A,4
0,138,0.0,3,D,2
0,139,1.0,4,E,4
0,140,1.0,3,D,3
0,141,0.0,0,A,4
0,142,0.0,1,B,3
0,143,1.0,1,B,1
0,144,0.0,2,C,0
0,145,0.0,4,E,2
0,146,0.0,4,E,2
0,147,0.0,4,E,3
0,148,0.0,0,A,1
0,149,0.0,1,B,2
0,150,1.0,0,A,0
0,151,0.0,3,D,0
