original_row_index,target,probe,fact,inference_type,source_fact(s),derivation,question,answer,source_facts,text_sentences,contextualized_question
7, from $d^2$ to $d\log d$,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', when BOFT uses the butterfly matrix instead of a full dense orthogonal matrix, the parameter scaling changes with dimension $d$","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', when BOFT uses the butterfly matrix instead of a full dense orthogonal matrix, the parameter scaling changes with dimension $d$ from $d^2$ to $d\log d$",Reasoning Step,"['If we use the butterfly matrix, \\emph{i.e.}, $m=\\log d,b=2$, BOFT uses $\\mathcal{O}(d\\log d)$ parameters.', 'In contrast, the original OFT with a full dense orthogonal matrix uses $\\mathcal{O}(d^2)$ parameters']",Comparing the two asymptotic counts shows that butterfly BOFT reduces parameter growth from quadratic in $d$ to $d\log d$.,"When BOFT uses the butterfly matrix instead of a full dense orthogonal matrix, how does the parameter scaling change with dimension $d$?",from $d^2$ to $d\log d$,"['If we use the butterfly matrix, \\emph{i.e.}, $m=\\log d,b=2$, BOFT uses $\\mathcal{O}(d\\log d)$ parameters.', 'In contrast, the original OFT with a full dense orthogonal matrix uses $\\mathcal{O}(d^2)$ parameters']","['If we use the butterfly matrix, \\emph{i.e.}, $m=\\log d,b=2$, BOFT uses $\\mathcal{O}(d\\log d)$ parameters.', 'In contrast, the original OFT with a full dense orthogonal matrix uses $\\mathcal{O}(d^2)$ parameters']","In the context of the BOFT paper, how does the use of a butterfly matrix affect the parameter scaling with respect to the dimension $d$?"
8,training stability and generalization,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', from the spectral argument, orthogonal finetuning methods like BOFT should have an advantage over LoRA in","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', from the spectral argument, orthogonal finetuning methods like BOFT should have an advantage over LoRA in training stability and generalization",Multi-Fact Integration,"['Both OFT and BOFT multiply an orthogonal matrix $\\bm{R}$ to the left and obtain the finetuned weights $\\bm{R}\\bm{U}\\bm{\\Sigma}\\bm{V}^\\top$, which does not affect the largest singular value (i.e., the spectral norm of $\\bm{W}^0$).', 'Such a preservation has been shown to greatly benefit training stability and generalization~\\cite{miyato2018spectral,yoshida2017spectral}.', 'Orthogonal finetuning generally yields better spectral property than LoRA, because it perfectly preserves the spectral norm of the pretrained weight matrix $\\bm{W}^0$.']","If BOFT preserves the spectral norm while the paper links that preservation to better stability and generalization, BOFT should inherit those advantages over LoRA.","From the paper's spectral argument, what advantage should orthogonal finetuning methods like BOFT have over LoRA?",training stability and generalization,"['Both OFT and BOFT multiply an orthogonal matrix $\\bm{R}$ to the left and obtain the finetuned weights $\\bm{R}\\bm{U}\\bm{\\Sigma}\\bm{V}^\\top$, which does not affect the largest singular value (i.e., the spectral norm of $\\bm{W}^0$).', 'Such a preservation has been shown to greatly benefit training stability and generalization~\\cite{miyato2018spectral,yoshida2017spectral}.', 'Orthogonal finetuning generally yields better spectral property than LoRA, because it perfectly preserves the spectral norm of the pretrained weight matrix $\\bm{W}^0$.']","['Both OFT and BOFT multiply an orthogonal matrix $\\bm{R}$ to the left and obtain the finetuned weights $\\bm{R}\\bm{U}\\bm{\\Sigma}\\bm{V}^\\top$, which does not affect the largest singular value (i.e., the spectral norm of $\\bm{W}^0$).', 'Such a preservation has been shown to greatly benefit training stability and generalization~\\cite{miyato2018spectral,yoshida2017spectral}.', 'Orthogonal finetuning generally yields better spectral property than LoRA, because it perfectly preserves the spectral norm of the pretrained weight matrix $\\bm{W}^0$.']","According to the BOFT paper's spectral argument, what broad benefit follows from preserving spectral norms during finetuning?"
22,increasing $m$,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', if block size $b$ is fixed, BOFT must change from the OFT-equivalent setting to become more expressive than OFT by","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', if block size $b$ is fixed, BOFT must change from the OFT-equivalent setting to become more expressive than OFT by increasing $m$",Multi-Fact Integration,"['When $\\thickmuskip=2mu \\medmuskip=2mu m=1$, then BOFT($1$,$b$) reduces to the block-diagonal OFT~\\cite{qiu2023controlling} with the block size $b$.', 'BOFT is more expressive than OFT with the same block size.']","If m=1 gives the OFT-equivalent case, then exceeding OFT's expressivity at the same block size requires moving beyond m=1.","If block size $b$ is fixed, what must BOFT change from the OFT-equivalent setting to become more expressive than OFT?",increase m,"['When $\\thickmuskip=2mu \\medmuskip=2mu m=1$, then BOFT($1$,$b$) reduces to the block-diagonal OFT~\\cite{qiu2023controlling} with the block size $b$.', 'BOFT is more expressive than OFT with the same block size.']","['When $\\thickmuskip=2mu \\medmuskip=2mu m=1$, then BOFT($1$,$b$) reduces to the block-diagonal OFT~\\cite{qiu2023controlling} with the block size $b$.', 'BOFT is more expressive than OFT with the same block size.']","In the context of the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', what adjustment must BOFT make from the OFT-equivalent setting to enhance its expressiveness while keeping the block size fixed?"
23,the expressivity-regularity trade-off,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', expanding BOFT to represent the entire orthogonal group would not necessarily give the best finetuning performance because of","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', expanding BOFT to represent the entire orthogonal group would not necessarily give the best finetuning performance because of the expressivity-regularity trade-off",Synthesized Insight,"['""However, we note that better expressiveness does not always lead to better performance in finetuning, as full finetuning, despite its universal expressiveness, often yields unsatisfactory performance.""', '""The trade-off between expressivity and regularity is the key to the generalizability of model finetuning.""']","Since the paper says more expressiveness alone can hurt finetuning and that generalization depends on balancing expressivity with regularity, full orthogonal expressiveness is not automatically best.",Why would expanding BOFT to represent the entire orthogonal group not necessarily give the best finetuning performance?,the expressivity-regularity trade-off,"['""However, we note that better expressiveness does not always lead to better performance in finetuning, as full finetuning, despite its universal expressiveness, often yields unsatisfactory performance.""', '""The trade-off between expressivity and regularity is the key to the generalizability of model finetuning.""']","['""However, we note that better expressiveness does not always lead to better performance in finetuning, as full finetuning, despite its universal expressiveness, often yields unsatisfactory performance.""', '""The trade-off between expressivity and regularity is the key to the generalizability of model finetuning.""']","In the context of the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', why might expanding BOFT to represent the entire orthogonal group not yield optimal finetuning performance?"
5,butterfly structure,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the structure inspired by the Cooley-Tukey algorithm that can densely connect $d$ source nodes and $d$ receiver nodes with $\\mathcal{O}(d\log d)$ edges, thereby meeting the graph desiderata of dense connectivity and minimum free edges, is the","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the structure inspired by the Cooley-Tukey algorithm that can densely connect $d$ source nodes and $d$ receiver nodes with $\\mathcal{O}(d\log d)$ edges, thereby meeting the graph desiderata of dense connectivity and minimum free edges, is the butterfly structure",Multi-Fact Integration,"['Under the information transmission view, the general desiderata towards our goal are (i) dense connectivity: every node in the first level has at least one path to every node in the last level, and (ii) minimum free edges: the total number of edges should be as small as possible under the orthogonality constraint.', 'We draw inspiration from an interesting topology from the Cooley-Tukey algorithm, called butterfly graphs~\\cite{cooley1965algorithm}, which can densely connect $d$ source nodes and $d$ receiver nodes efficiently with $\\mathcal{O}(d\\log d)$ edges.']","Because butterfly graphs keep full source-to-receiver connectivity while using only O(d log d) edges, they match both dense connectivity and minimal free-edge goals.",Which structure is implied to meet the paper's graph desiderata by keeping full reachability while using far fewer edges than a dense matrix?,butterfly structure,"['Under the information transmission view, the general desiderata towards our goal are (i) dense connectivity: every node in the first level has at least one path to every node in the last level, and (ii) minimum free edges: the total number of edges should be as small as possible under the orthogonality constraint.', 'We draw inspiration from an interesting topology from the Cooley-Tukey algorithm, called butterfly graphs~\\cite{cooley1965algorithm}, which can densely connect $d$ source nodes and $d$ receiver nodes efficiently with $\\mathcal{O}(d\\log d)$ edges.']","['Under the information transmission view, the general desiderata towards our goal are (i) dense connectivity: every node in the first level has at least one path to every node in the last level, and (ii) minimum free edges: the total number of edges should be as small as possible under the orthogonality constraint.', 'We draw inspiration from an interesting topology from the Cooley-Tukey algorithm, called butterfly graphs~\\cite{cooley1965algorithm}, which can densely connect $d$ source nodes and $d$ receiver nodes efficiently with $\\mathcal{O}(d\\log d)$ edges.']","In the context of the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', which structure is suggested to achieve the desired graph properties of maintaining full reachability while using significantly fewer edges than a dense matrix?"
14,block-diagonal to dense,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', with block size $b$ fixed, if $m$ is increased from $1$ to $\log \frac{2d}{b}$, BOFT moves from one matrix form to another:","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', with block size $b$ fixed, if $m$ is increased from $1$ to $\log \frac{2d}{b}$, BOFT moves from one matrix form to another: block-diagonal to dense",Multi-Fact Integration,"['When $m=1$, then BOFT($1$,$b$) reduces to the block-diagonal OFT~\\cite{qiu2023controlling} with the block size $b$.', 'BOFT($\\log \\frac{2d}{b}$,$b$) uses the block butterfly matrix $\\bm{B}^{\\frac{b}{2}}(d)$ as $\\bm{R}$, and yields a dense orthogonal matrix $\\bm{R}$.']","With the same block size, increasing $m$ from 1 to $\log(2d/b)$ moves BOFT from the block-diagonal OFT case to a dense orthogonal matrix.","With block size $b$ fixed, if $m$ is increased from 1 to $\log(2d/b)$, BOFT moves from what kind of matrix to what kind of matrix?",block-diagonal to dense,"['When $m=1$, then BOFT($1$,$b$) reduces to the block-diagonal OFT~\\cite{qiu2023controlling} with the block size $b$.', 'BOFT($\\log \\frac{2d}{b}$,$b$) uses the block butterfly matrix $\\bm{B}^{\\frac{b}{2}}(d)$ as $\\bm{R}$, and yields a dense orthogonal matrix $\\bm{R}$.']","['When $m=1$, then BOFT($1$,$b$) reduces to the block-diagonal OFT~\\cite{qiu2023controlling} with the block size $b$.', 'BOFT($\\log \\frac{2d}{b}$,$b$) uses the block butterfly matrix $\\bm{B}^{\\frac{b}{2}}(d)$ as $\\bm{R}$, and yields a dense orthogonal matrix $\\bm{R}$.']","In the context of the BOFT paper, what transformation occurs in the matrix form when the parameter $m$ is increased from 1 to $\log(2d/b)$ while keeping the block size $b$ fixed?"
10, index-based groups,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the questionable assumption of block-diagonal OFT avoided when BOFT uses a dense orthogonal transformation is the assumption of","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the questionable assumption of block-diagonal OFT avoided when BOFT uses a dense orthogonal transformation is the assumption of index-based groups",Synthesized Insight,"['the block-diagonal structure comes at a price -- it introduces an assumption that the dimensions of a neuron (\\emph{i.e.}, a column vector of the weight matrix $\\bm{W}^0$) are divided by $r$ groups and dimensions in different groups are transformed separately using different orthogonal matrices.', 'Despite the empirical effectiveness of the block-diagonal structure, it makes no sense to divide the dimensions of a neuron into $r$ groups based on their indices, which makes dense orthogonal matrices desirable.']","Since block-diagonal OFT separates dimensions by fixed groups based on their positions, using a dense orthogonal matrix removes that index-based grouping assumption.",What questionable assumption of block-diagonal OFT is avoided when BOFT uses a dense orthogonal transformation instead?,index-based groups,"['the block-diagonal structure comes at a price -- it introduces an assumption that the dimensions of a neuron (\\emph{i.e.}, a column vector of the weight matrix $\\bm{W}^0$) are divided by $r$ groups and dimensions in different groups are transformed separately using different orthogonal matrices.', 'Despite the empirical effectiveness of the block-diagonal structure, it makes no sense to divide the dimensions of a neuron into $r$ groups based on their indices, which makes dense orthogonal matrices desirable.']","['the block-diagonal structure comes at a price -- it introduces an assumption that the dimensions of a neuron (\\emph{i.e.}, a column vector of the weight matrix $\\bm{W}^0$) are divided by $r$ groups and dimensions in different groups are transformed separately using different orthogonal matrices.', 'Despite the empirical effectiveness of the block-diagonal structure, it makes no sense to divide the dimensions of a neuron into $r$ groups based on their indices, which makes dense orthogonal matrices desirable.']","In the context of the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', what assumption related to the grouping of neuron dimensions is circumvented by the use of a dense orthogonal transformation in BOFT?"
1, the pretrained weight matrix,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', after BOFT initializes all butterfly components as identity, the effective weight matrix used in the modified forward pass at the very start of finetuning is","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', after BOFT initializes all butterfly components as identity, the effective weight matrix used in the modified forward pass at the very start of finetuning is the pretrained weight matrix",Multi-Fact Integration,"['Concretely, OFT optimizes an orthogonal matrix $\\bm{R}\\in\\mathbb{R}^{d\\times d}$ for a pretrained linear layer $\\bm{W}^0\\in\\mathbb{R}^{d\\times n}$, and modifies the forward pass from $\\bm{z}=(\\bm{W}^0)^\\top\\bm{x}$ to $\\bm{z}=(\\bm{R}\\bm{W}^0)^\\top\\bm{x}$', 'The orthogonal matrix $\\bm{R}(m,b)\\in\\mathbb{R}^{d\\times d}$ is composed of a product of multiple orthogonal butterfly components.', 'In BOFT, we initialize all the butterfly components with identity matrices (\\emph{i.e.}, the skew-symmetric matrix is initialized as zeros in Cayley transform).']","If every butterfly component starts as identity, their product $\bm{R}$ is identity, so the effective weight in $\bm{R}\bm{W}^0$ is just the original pretrained matrix.","After BOFT initializes all butterfly components as identity, what is the effective weight matrix used in the modified forward pass at the very start of finetuning?",the pretrained weight matrix,"['Concretely, OFT optimizes an orthogonal matrix $\\bm{R}\\in\\mathbb{R}^{d\\times d}$ for a pretrained linear layer $\\bm{W}^0\\in\\mathbb{R}^{d\\times n}$, and modifies the forward pass from $\\bm{z}=(\\bm{W}^0)^\\top\\bm{x}$ to $\\bm{z}=(\\bm{R}\\bm{W}^0)^\\top\\bm{x}$', 'The orthogonal matrix $\\bm{R}(m,b)\\in\\mathbb{R}^{d\\times d}$ is composed of a product of multiple orthogonal butterfly components.', 'In BOFT, we initialize all the butterfly components with identity matrices (\\emph{i.e.}, the skew-symmetric matrix is initialized as zeros in Cayley transform).']","['Concretely, OFT optimizes an orthogonal matrix $\\bm{R}\\in\\mathbb{R}^{d\\times d}$ for a pretrained linear layer $\\bm{W}^0\\in\\mathbb{R}^{d\\times n}$, and modifies the forward pass from $\\bm{z}=(\\bm{W}^0)^\\top\\bm{x}$ to $\\bm{z}=(\\bm{R}\\bm{W}^0)^\\top\\bm{x}$', 'The orthogonal matrix $\\bm{R}(m,b)\\in\\mathbb{R}^{d\\times d}$ is composed of a product of multiple orthogonal butterfly components.', 'In BOFT, we initialize all the butterfly components with identity matrices (\\emph{i.e.}, the skew-symmetric matrix is initialized as zeros in Cayley transform).']","In the context of the BOFT method described in the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', what is the effective weight matrix utilized during the modified forward pass at the beginning of finetuning when all butterfly components are initialized as identity?"
4, BOFT,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the method that can still produce a dense orthogonal matrix even when the block size is kept smaller than $d$ is","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the method that can still produce a dense orthogonal matrix even when the block size is kept smaller than $d$ is BOFT",Multi-Fact Integration,"['BOFT($\\log \\frac{2d}{b}$,$b$) uses the block butterfly matrix $\\bm{B}^{\\frac{b}{2}}(d)$ as $\\bm{R}$, and yields a dense orthogonal matrix $\\bm{R}$.', 'Therefore, the original OFT has to use the block size $b=d$ to generate a dense orthogonal matrix, while BOFT can use any $b$ to achieve this.']","Since original OFT needs b=d for density but BOFT can stay dense with any b, BOFT is the one that keeps small blocks without losing density.",Which method can still produce a dense orthogonal matrix even when the block size is kept smaller than d?,BOFT,"['BOFT($\\log \\frac{2d}{b}$,$b$) uses the block butterfly matrix $\\bm{B}^{\\frac{b}{2}}(d)$ as $\\bm{R}$, and yields a dense orthogonal matrix $\\bm{R}$.', 'Therefore, the original OFT has to use the block size $b=d$ to generate a dense orthogonal matrix, while BOFT can use any $b$ to achieve this.']","['BOFT($\\log \\frac{2d}{b}$,$b$) uses the block butterfly matrix $\\bm{B}^{\\frac{b}{2}}(d)$ as $\\bm{R}$, and yields a dense orthogonal matrix $\\bm{R}$.', 'Therefore, the original OFT has to use the block size $b=d$ to generate a dense orthogonal matrix, while BOFT can use any $b$ to achieve this.']","In the context of the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', which method is capable of generating a dense orthogonal matrix while maintaining a block size smaller than d?"
15, block-wise permutations,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', it is enough to make only the $2b\times 2b$ blocks orthogonal when constructing larger block butterfly components because the remaining structure can be handled by","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', it is enough to make only the $2b\times 2b$ blocks orthogonal when constructing larger block butterfly components because the remaining structure can be handled by block-wise permutations",Reasoning Step,"['""To guarantee the block butterfly component $\\tilde{\\bm{B}}^b(d,2)$ to be orthogonal, we parameterize each $2b\\times 2b$ block matrix to be orthogonal.""', '""The non-zero pattern of the other butterfly components $\\tilde{\\bm{B}}^b(d,k),k>2$ are the block-wise permutation of the non-zero pattern of $\\tilde{\\bm{B}}^b(d,2)$ and therefore can be similarly turned into orthogonal matrices.""']","Because larger butterfly components only rearrange the same block pattern, making the base 2b×2b blocks orthogonal is enough to extend orthogonality to the larger components.",Why is it enough to make only the 2b×2b blocks orthogonal when constructing larger block butterfly components?,block-wise permutations,"['""To guarantee the block butterfly component $\\tilde{\\bm{B}}^b(d,2)$ to be orthogonal, we parameterize each $2b\\times 2b$ block matrix to be orthogonal.""', '""The non-zero pattern of the other butterfly components $\\tilde{\\bm{B}}^b(d,k),k>2$ are the block-wise permutation of the non-zero pattern of $\\tilde{\\bm{B}}^b(d,2)$ and therefore can be similarly turned into orthogonal matrices.""']","['""To guarantee the block butterfly component $\\tilde{\\bm{B}}^b(d,2)$ to be orthogonal, we parameterize each $2b\\times 2b$ block matrix to be orthogonal.""', '""The non-zero pattern of the other butterfly components $\\tilde{\\bm{B}}^b(d,k),k>2$ are the block-wise permutation of the non-zero pattern of $\\tilde{\\bm{B}}^b(d,2)$ and therefore can be similarly turned into orthogonal matrices.""']","In the context of the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', what is the reason for only requiring the orthogonality of the $2b\times 2b$ blocks when constructing larger block butterfly components?"
