probe,target,correct_label,formatted_question,option_a,option_b,option_c,option_d,option_e,distractors,fact,raw_knowledge_statement,section,formatted_question_5shot
"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what kind of learning is identified as an important scenario that is challenged by limited context windows when it involves numerous examples?",in-context learning.,(B),"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what kind of learning is identified as an important scenario that is challenged by limited context windows when it involves numerous examples?
(A) LLM agents.
(B) in-context learning.
(C) transfer learning.
(D) reinforcement learning from human feedback.
(E) supervised fine-tuning.",LLM agents.,in-context learning.,transfer learning.,reinforcement learning from human feedback.,supervised fine-tuning.,"[""LLM agents."", ""transfer learning."", ""reinforcement learning from human feedback."", ""supervised fine-tuning.""]","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the kind of learning identified as an important scenario that is challenged by limited context windows when it involves numerous examples is in-context learning.","This poses challenges in important scenarios like in-context learning with numerous examples~\cite{Huang2023FewerIM} and LLM agents~\cite{park2023generative,madaan2023selfrefine}.",Introduction,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what kind of learning is identified as an important scenario that is challenged by limited context windows when it involves numerous examples?
(A) LLM agents.
(B) in-context learning.
(C) transfer learning.
(D) reinforcement learning from human feedback.
(E) supervised fine-tuning."
"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what example of a limited context window size is given for LLaMA2?",4096 token limit.,(E),"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what example of a limited context window size is given for LLaMA2?
(A) 2 million token limit.
(B) 2048 token limit.
(C) 8192 token limit.
(D) 128000 token limit.
(E) 4096 token limit.",2 million token limit.,2048 token limit.,8192 token limit.,128000 token limit.,4096 token limit.,"[""2 million token limit."", ""2048 token limit."", ""8192 token limit."", ""128000 token limit.""]","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", an example of a limited context window size given for LLaMA2 is 4096 token limit.","Large Language Models (LLMs), despite remarkable success on various tasks~\cite{gpt4,llama2}, often suffer from limited context window size, e.g., LLaMA2's 4096 token limit~\cite{llama2}.",Introduction,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what example of a limited context window size is given for LLaMA2?
(A) 2 million token limit.
(B) 2048 token limit.
(C) 8192 token limit.
(D) 128000 token limit.
(E) 4096 token limit."
"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what are current extended context windows limited to?",around 128k tokens.,(D),"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what are current extended context windows limited to?
(A) around 2048k tokens.
(B) around 32k tokens.
(C) around 4k tokens.
(D) around 128k tokens.
(E) around 256k tokens.",around 2048k tokens.,around 32k tokens.,around 4k tokens.,around 128k tokens.,around 256k tokens.,"[""around 2048k tokens."", ""around 32k tokens."", ""around 4k tokens."", ""around 256k tokens.""]","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", current extended context windows are limited to around 128k tokens.","However, due to high fine-tuning costs, scarcity of long texts, and catastrophic values introduced by new token positions, current extended context windows are limited to around 128k tokens.",Title/Abstract,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what are current extended context windows limited to?
(A) around 2048k tokens.
(B) around 32k tokens.
(C) around 4k tokens.
(D) around 128k tokens.
(E) around 256k tokens."
"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what are described as introducing catastrophic values that help explain why current extended context windows are limited to around 128k tokens?",new token positions,(A),"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what are described as introducing catastrophic values that help explain why current extended context windows are limited to around 128k tokens?
(A) new token positions
(B) positional interpolation
(C) KV-cache memory overhead
(D) scarcity of long texts
(E) high fine-tuning costs",new token positions,positional interpolation,KV-cache memory overhead,scarcity of long texts,high fine-tuning costs,"[""positional interpolation"", ""KV-cache memory overhead"", ""scarcity of long texts"", ""high fine-tuning costs""]","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the factor described as introducing catastrophic values and helping explain why current extended context windows are limited to around 128k tokens is new token positions","However, due to high fine-tuning costs, scarcity of long texts, and catastrophic values introduced by new token positions, current extended context windows are limited to around 128k tokens.",Title/Abstract,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what are described as introducing catastrophic values that help explain why current extended context windows are limited to around 128k tokens?
(A) new token positions
(B) positional interpolation
(C) KV-cache memory overhead
(D) scarcity of long texts
(E) high fine-tuning costs"
"In the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what can models extended via LongRoPE reuse while retaining the original architecture with only minor modifications to the positional embedding?",most pre-existing optimizations.,(D),"In the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what can models extended via LongRoPE reuse while retaining the original architecture with only minor modifications to the positional embedding?
(A) the 8k readjustment step
(B) most downstream task adapters
(C) the progressive extension strategy
(D) most pre-existing optimizations.
(E) standard sparse-attention kernels",the 8k readjustment step,most downstream task adapters,the progressive extension strategy,most pre-existing optimizations.,standard sparse-attention kernels,"[""the 8k readjustment step"", ""most downstream task adapters"", ""the progressive extension strategy"", ""standard sparse-attention kernels""]","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", models extended via LongRoPE can retain the original architecture with only minor modifications to the positional embedding and reuse most pre-existing optimizations.","Models extended via LongRoPE retain the original architecture with minor modifications to the positional embedding,  and can reuse most pre-existing optimizations.",Title/Abstract,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: In the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what can models extended via LongRoPE reuse while retaining the original architecture with only minor modifications to the positional embedding?
(A) the 8k readjustment step
(B) most downstream task adapters
(C) the progressive extension strategy
(D) most pre-existing optimizations.
(E) standard sparse-attention kernels"
"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", how many fine-tuning steps are reported as sufficient for extending the context window of pre-trained LLMs to 2048k tokens while maintaining performance at the original short context window?",1k fine-tuning steps.,(E),"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", how many fine-tuning steps are reported as sufficient for extending the context window of pre-trained LLMs to 2048k tokens while maintaining performance at the original short context window?
(A) 2k fine-tuning steps.
(B) 10k fine-tuning steps.
(C) 100k fine-tuning steps.
(D) 256k fine-tuning steps.
(E) 1k fine-tuning steps.",2k fine-tuning steps.,10k fine-tuning steps.,100k fine-tuning steps.,256k fine-tuning steps.,1k fine-tuning steps.,"[""2k fine-tuning steps."", ""10k fine-tuning steps."", ""100k fine-tuning steps."", ""256k fine-tuning steps.""]","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the number of fine-tuning steps reported as sufficient for extending the context window of pre-trained LLMs to 2048k tokens while maintaining performance at the original short context window is 1k fine-tuning steps.","This paper introduces LongRoPE that,  for the first time, extends the context window of pre-trained LLMs to an impressive  \textbf{2048k} tokens,  with up to only 1k fine-tuning steps at within 256k training lengths, while maintaining performance at the original short context window.",Title/Abstract,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", how many fine-tuning steps are reported as sufficient for extending the context window of pre-trained LLMs to 2048k tokens while maintaining performance at the original short context window?
(A) 2k fine-tuning steps.
(B) 10k fine-tuning steps.
(C) 100k fine-tuning steps.
(D) 256k fine-tuning steps.
(E) 1k fine-tuning steps."
"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what other resource, besides training hours, is required in prohibitively extensive amounts when training on extra-long texts?",GPU resources.,(E),"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what other resource, besides training hours, is required in prohibitively extensive amounts when training on extra-long texts?
(A) high-quality long-text data
(B) CPU memory
(C) network bandwidth
(D) attention cache storage
(E) GPU resources.",high-quality long-text data,CPU memory,network bandwidth,attention cache storage,GPU resources.,"[""high-quality long-text data"", ""CPU memory"", ""network bandwidth"", ""attention cache storage""]","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the other resource, besides training hours, required in prohibitively extensive amounts when training on extra-long texts is GPU resources.","Moreover, training on extra-long texts is computationally expensive, requiring prohibitively extensive training hours and GPU resources.",Introduction,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what other resource, besides training hours, is required in prohibitively extensive amounts when training on extra-long texts?
(A) high-quality long-text data
(B) CPU memory
(C) network bandwidth
(D) attention cache storage
(E) GPU resources."
"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", models extended via LongRoPE retain the original architecture with minor modifications to what component?",the positional embedding.,(B),"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", models extended via LongRoPE retain the original architecture with minor modifications to what component?
(A) the feed-forward layers.
(B) the positional embedding.
(C) the pretraining objective.
(D) the self-attention mechanism.
(E) the positional interpolation scheme.",the feed-forward layers.,the positional embedding.,the pretraining objective.,the self-attention mechanism.,the positional interpolation scheme.,"[""the feed-forward layers."", ""the pretraining objective."", ""the self-attention mechanism."", ""the positional interpolation scheme.""]","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", models extended via LongRoPE retain the original architecture with minor modifications to the positional embedding.","Models extended via LongRoPE retain the original architecture with minor modifications to the positional embedding,  and can reuse most pre-existing optimizations.",Title/Abstract,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", models extended via LongRoPE retain the original architecture with minor modifications to what component?
(A) the feed-forward layers.
(B) the positional embedding.
(C) the pretraining objective.
(D) the self-attention mechanism.
(E) the positional interpolation scheme."
"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", on what length is LongRoPE readjusted in the third key innovation to recover short context window performance?",8k length.,(D),"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", on what length is LongRoPE readjusted in the third key innovation to recover short context window performance?
(A) 2048k length.
(B) 4k length.
(C) 16k length.
(D) 8k length.
(E) 256k length.",2048k length.,4k length.,16k length.,8k length.,256k length.,"[""2048k length."", ""4k length."", ""16k length."", ""256k length.""]","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the third key innovation, LongRoPE is readjusted to recover short context window performance on 8k length.","This is achieved by three key innovations: (i) we identify and exploit two forms of non-uniformities in positional interpolation through an efficient  search, providing a better initialization for fine-tuning and  enabling an 8$\times$ extension in non-fine-tuning scenarios; (ii) we introduce a progressive extension strategy that first fine-tunes a 256k length LLM and then conducts a second  positional interpolation on the fine-tuned extended LLM to achieve a 2048k context window; (iii) we readjust LongRoPE on 8k length to recover the short context window performance.",Title/Abstract,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", on what length is LongRoPE readjusted in the third key innovation to recover short context window performance?
(A) 2048k length.
(B) 4k length.
(C) 16k length.
(D) 8k length.
(E) 256k length."
"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what does the efficient search identify and exploit in positional interpolation as part of the first key innovation for extending the context window?",two forms of non-uniformities,(D),"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what does the efficient search identify and exploit in positional interpolation as part of the first key innovation for extending the context window?
(A) catastrophic value patterns at newly introduced token positions
(B) head-wise variations in rotary embedding frequencies
(C) layer-wise differences in interpolation scales
(D) two forms of non-uniformities
(E) frequency aliasing across positional embedding dimensions",catastrophic value patterns at newly introduced token positions,head-wise variations in rotary embedding frequencies,layer-wise differences in interpolation scales,two forms of non-uniformities,frequency aliasing across positional embedding dimensions,"[""catastrophic value patterns at newly introduced token positions"", ""head-wise variations in rotary embedding frequencies"", ""layer-wise differences in interpolation scales"", ""frequency aliasing across positional embedding dimensions""]","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the efficient search, as part of the first key innovation for extending the context window, identifies and exploits in positional interpolation two forms of non-uniformities","This is achieved by three key innovations: (i) we identify and exploit two forms of non-uniformities in positional interpolation through an efficient  search, providing a better initialization for fine-tuning and  enabling an 8$\times$ extension in non-fine-tuning scenarios; (ii) we introduce a progressive extension strategy that first fine-tunes a 256k length LLM and then conducts a second  positional interpolation on the fine-tuned extended LLM to achieve a 2048k context window; (iii) we readjust LongRoPE on 8k length to recover the short context window performance.",Title/Abstract,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what does the efficient search identify and exploit in positional interpolation as part of the first key innovation for extending the context window?
(A) catastrophic value patterns at newly introduced token positions
(B) head-wise variations in rotary embedding frequencies
(C) layer-wise differences in interpolation scales
(D) two forms of non-uniformities
(E) frequency aliasing across positional embedding dimensions"
