review_id,decision,issue_categories,review_reason,fixed_question_stem,fixed_option_a,fixed_option_b,fixed_option_c,fixed_option_d,fixed_option_e,fixed_correct_label,fixed_target
arxiv/BOFT/186,fix,formatting,The stem contains an extraneous prompt prefix that should be removed.,"In the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", what type of transforms are mentioned as sharing a structured pattern with butterfly factorization when the authors argue that this structured inductive bias is beneficial to generalization?",distance metric learning methods.,bilinear similarity matrices.,sparse matrix factorizations.,linear transforms.,orthogonal matrices.,(D),linear transforms.
arxiv/BOFT/194,fix,formatting,The stem contains an extraneous prompt prefix that should be removed.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", what is slightly larger during BOFT training compared with OFT, because the final orthogonal matrix in BOFT is the product of multiple orthogonal matrices?",number of trainable parameters,parameter-efficiency,GPU memory overhead,training runtime overhead,additional inference latency,(D),training runtime overhead
arxiv/BOFT/195,fix,formatting,The stem contains an extraneous prompt prefix that should be removed.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", under the graphical information transmission framework proposed for Orthogonal Butterfly, the authors find that the butterfly structure can effectively achieve the desiderata of what?",parameter-efficient model finetuning,dense orthogonal matrix parameterization,efficient network topology design,sparse orthogonal matrix factorization,low-rank adaptation of pretrained weights,(D),sparse orthogonal matrix factorization
arxiv/BOFT/201,fix,formatting,The stem contains an extraneous prompt prefix that should be removed.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", which network do the authors say may not be the most efficient way to transmit information?",the graphical information transmission framework,the hypercube network,the Beneš network,the BOFT architecture,the butterfly network.,(E),the butterfly network.
arxiv/ByteLatent/3,fix,stem_answer_mismatch,"The stem asks both what bytes are encoded into and what those units do, but the options only answer the first part.","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", what does the Byte Latent Transformer (BLT) encode bytes into?",dynamically sized patches.,byte-level tokens,raw bytes,subword tokens,fixed-size patches,(A),dynamically sized patches.
arxiv/ByteLatent/4,fix,option_type_mismatch,One distractor is a training-data amount rather than a parameter count.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", up to how many parameters do the byte-level models reach in the first flop controlled scaling study described by the authors?",4B parameters.,8B parameters.,16B parameters.,12B parameters.,70B parameters.,(B),8B parameters.
arxiv/ByteLatent/6,fix,formatting;stem_answer_mismatch,The stem has an extraneous prompt prefix and the original wording does not let the correct option answer naturally.,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", what does the heuristic pre-processing step of tokenization map bytes to?",a static set of tokens,a dynamic sequence of byte patches,a fixed vocabulary of character n-grams,a set of context-dependent embeddings,a stream of raw byte representations,(A),a static set of tokens
arxiv/ByteLatent/12,fix,formatting,The stem contains an extraneous prompt prefix that should be removed.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", arbitrary groups of bytes are mapped to latent patch representations via what kind of modules?",vector-quantized codebook lookup modules.,light-weight learned encoder and decoder modules.,"a dynamic, learnable patching mechanism.",a fixed vocabulary of token embeddings.,hierarchical convolutional embedding layers.,(B),light-weight learned encoder and decoder modules.
arxiv/ByteLatent/16,fix,option_type_mismatch,Two distractors are not numbers of training bytes.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", up to how many training bytes were used in the first flop-controlled scaling study of byte-level models?",8T training bytes.,1T training bytes.,3T training bytes.,4T training bytes.,2T training bytes.,(D),4T training bytes.
arxiv/ByteLatent/20,fix,formatting;option_type_mismatch,The stem has an extraneous prompt prefix and one distractor is a training-data amount rather than a parameter count.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the first flop-controlled scaling study of byte-level models trained end-to-end from bytes without fixed-vocabulary tokenization, up to how many parameters do the models scale?",13B parameters.,4B parameters.,8B parameters.,70B parameters.,12B parameters.,(C),8B parameters.
arxiv/ByteLatent/41,fix,truncated_stem,The stem is truncated and does not ask a complete question.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the example about predicting the answer to “Who composed the Magic Flute?”, what significantly reduces the number of likely choices and makes the completion “Mozart” comparatively easy to predict?",the first character.,a latent transformer step allocated to every word.,word-level tokenization of the answer.,the space-like byte before the answer.,"the remaining bytes after ""M"".",(A),the first character.
arxiv/ByteLatent/51,fix,formatting;grammar,The stem has an extraneous prompt prefix and the correct tokenizer name should be capitalized.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", what subword tokenizer do many modern LLMs, including the baseline Llama 3, use?",BPE.,WordPiece.,whitespace-based tokenization.,SentencePiece.,unigram language modeling.,(A),BPE.
arxiv/ByteLatent/53,fix,formatting,The stem contains an extraneous prompt prefix that should be removed.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", from what kind of vocabulary are “tokens” drawn, as opposed to “patches” which are dynamically grouped sequences without a fixed vocabulary?",dynamically grouped sequences without a fixed vocabulary,a \textit{finite} vocabulary determined prior to training,the byte vocabulary $\mathcal{V}$ used for next-byte entropy estimation,a learned subword inventory updated jointly with the model during training,high-entropy byte groups identified during preprocessing,(B),a \textit{finite} vocabulary determined prior to training
arxiv/ByteLatent/59,fix,formatting,The stem contains an extraneous prompt prefix that should be removed.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", by how much does Llama 3 increase the size of its embedding table compared to Llama 2 when it raises the average token size from 3.7 to 4.4 bytes?",2x.,3.7x.,1.2x.,8x.,4x.,(E),4x.
arxiv/ByteLatent/78,fix,formatting,The stem contains an extraneous prompt prefix that should be removed.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", when the transformer layers use a local block causal attention mask, across what type of boundaries can the fixed window of $w_{\mathcal{E}}$ preceding bytes not extend?",the current patch boundary.,token boundaries.,dynamic patch boundaries.,document boundaries.,sentence boundaries.,(D),document boundaries.
