domain,probe_index,target_words,probe,target,fact,raw_knowledge_statement,contextualized_question
Acute_neurological_Behets_disease_complicated_by_a_syndrome,49,14,"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", when Behçet’s disease and neuro-Behçet’s disease are diagnosed concurrently, clinicians should assess both"," mucocutaneous features and neurological symptoms, including headaches, behavioural changes, psychiatric symptoms and focal deficits.","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", when Behçet’s disease and neuro-Behçet’s disease are diagnosed concurrently, clinicians should assess both mucocutaneous features and neurological symptoms, including headaches, behavioural changes, psychiatric symptoms and focal deficits.","In such cases, clinicians should assess both mucocutaneous features and neurological symptoms, including headaches, behavioural changes, psychiatric symptoms and focal deficits.","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", when Behçet’s disease and neuro-Behçet’s disease are diagnosed concurrently, what should clinicians assess in addition to neurological symptoms such as headaches, behavioural changes, psychiatric symptoms, and focal deficits?"
Acute_neurological_Behets_disease_complicated_by_a_syndrome,50,9,"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", syndrome of inappropriate antidiuretic hormone secretion (SIADH) is often the result of"," central nervous system (CNS) inflammation, malignancy or certain medications.","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", syndrome of inappropriate antidiuretic hormone secretion (SIADH) is often the result of central nervous system (CNS) inflammation, malignancy or certain medications.","The syndrome of inappropriate antidiuretic hormone secretion (SIADH) is a well-known cause of hyponatraemia and is often the result of central nervous system (CNS) inflammation, malignancy or certain medications.","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", what conditions or agents is syndrome of inappropriate antidiuretic hormone secretion (SIADH) often the result of, as noted in the background discussion of its cause of hyponatraemia?"
Acute_neurological_Behets_disease_complicated_by_a_syndrome,72,10,"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", when the patient’s headache and vertigo worsened on day 3 and brain MRI was performed, the MRI showed", no significant abnormalities involving the hypothalamus or other brain regions,"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", when the patient’s headache and vertigo worsened on day 3 and brain MRI was performed, the MRI showed no significant abnormalities involving the hypothalamus or other brain regions",Brain MRI revealed no significant abnormalities involving the hypothalamus or other brain regions (figure 2).,"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", when the patient’s headache and vertigo worsened on day 3 and brain MRI was performed, what did the MRI reveal involving the hypothalamus or other brain regions?"
Acute_neurological_Behets_disease_complicated_by_a_syndrome,87,11,"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", during the differential diagnosis of this man in his 60s with fever, headache, and hyponatraemia, autoimmune diseases were excluded due to", absence of characteristic systemic symptoms and negative screening autoantibody test results,"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", during the differential diagnosis of this man in his 60s with fever, headache, and hyponatraemia, autoimmune diseases were excluded due to absence of characteristic systemic symptoms and negative screening autoantibody test results",Autoimmune diseases were evaluated but excluded due to the absence of characteristic systemic symptoms and negative screening autoantibody test results.,"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", during the differential diagnosis of this man in his 60s with fever, headache, and hyponatraemia, what finding contributed to excluding autoimmune diseases, in addition to negative screening autoantibody test results?"
Acute_neurological_Behets_disease_complicated_by_a_syndrome,131,14,"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", in Behçet’s disease, aberrant monocyte activation leads to spontaneous IL-6 production, and", elevated IL-6 levels have been detected in the CSF of patients with acute neuro-BD.,"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", in Behçet’s disease, aberrant monocyte activation leads to spontaneous IL-6 production, and elevated IL-6 levels have been detected in the CSF of patients with acute neuro-BD.","In BD, aberrant monocyte activation leads to spontaneous IL-6 production, and elevated IL-6 levels have been detected in the CSF of patients with acute neuro-BD.","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", in what fluid have elevated IL-6 levels been detected in patients with acute neuro-BD?"
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,27,9,"According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", a man in his 70s with a 2-year history of exertional dyspnea and longstanding atrial fibrillation was"," on oral apixaban 5 mg, two times per day","According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", a man in his 70s with a 2-year history of exertional dyspnea and longstanding atrial fibrillation was on oral apixaban 5 mg, two times per day","A man in his 70s with a 2-year history of exertional dyspnoea and longstanding atrial fibrillation (on oral apixaban 5 mg, two times per day) was found to have a previously undetected systolic murmur.","According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", a man in his 70s with a 2-year history of exertional dyspnea and longstanding atrial fibrillation was being treated with what anticoagulant before a previously undetected systolic murmur was found?"
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,35,9,"In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the surgery proceeded uneventfully,", without major blood losses or need for blood transfusion,"In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the surgery proceeded uneventfully, without major blood losses or need for blood transfusion","Surgery proceeded uneventfully, without major blood losses or need for blood transfusion, with the patient easily coming ‘off pump’ with excellent haemodynamics.","In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the patient underwent cardiac surgery with cardiopulmonary bypass and was described as coming off pump easily with excellent haemodynamics. What was reported about the surgery in terms of blood loss and whether a blood transfusion was needed?"
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,59,11,"In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the patient’s POD5 serum was tested in a serotonin-release assay after postoperative thrombocytopenia and suspected HIT, and there was", a lack of serotonin release (0%) at supratherapeutic (100 U/mL) UFH,"In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the patient’s POD5 serum was tested in a serotonin-release assay after postoperative thrombocytopenia and suspected HIT, and there was a lack of serotonin release (0%) at supratherapeutic (100 U/mL) UFH","Consistent with the presence of platelet-activating HIT antibodies, the patient’s POD5 serum caused strong serotonin release both at 0.1 and 0.3 U/mL UFH (97% and 99%, respectively; RR<20% release), as well as a lack of serotonin release (0%) at supratherapeutic (100 U/mL) UFH; the absence of platelet activation at very high heparin concentrations is a characteristic feature of HIT and reflects the inability of PF4-containing immune complexes to be formed at such high UFH concentrations.","In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the patient’s POD5 serum was tested in a serotonin-release assay after postoperative thrombocytopenia and suspected HIT. At what unfractionated heparin (UFH) concentration was there a lack of serotonin release in that assay?"
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,66,16,"According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", after the patient was treated for autoimmune HIT with high-dose intravenous Ig after cardiac surgery, the clinicians gave a third 100 g dose because of", lack of an initial platelet count increase following the initial 2 days of intravenous Ig administration.,"According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", after the patient was treated for autoimmune HIT with high-dose intravenous Ig after cardiac surgery, the clinicians gave a third 100 g dose because of lack of an initial platelet count increase following the initial 2 days of intravenous Ig administration.","In addition, high-dose intravenous Ig was given, initially 100 g on two consecutive days, followed by a third 100 g dose, given the lack of an initial platelet count increase following the initial 2 days of intravenous Ig administration.","According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the patient was treated for autoimmune HIT with high-dose intravenous Ig after cardiac surgery. What prompted the clinicians to give a third 100 g dose after the first two daily doses?"
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,71,9,"According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", after developing autoimmune HIT and worsening postoperative thrombocytopenia and being treated with argatroban, on postoperative day 14 the patient was switched to"," therapeutic-dose fondaparinux, 10 mg once daily by subcutaneous injection.","According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", after developing autoimmune HIT and worsening postoperative thrombocytopenia and being treated with argatroban, on postoperative day 14 the patient was switched to therapeutic-dose fondaparinux, 10 mg once daily by subcutaneous injection.","The patient was switched on POD14 from argatroban to therapeutic-dose fondaparinux, 10 mg once daily by subcutaneous injection.","According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the patient had been treated with argatroban after developing autoimmune HIT and worsening postoperative thrombocytopenia. On postoperative day 14, what anticoagulant was he switched to, and at what dosing approach?"
